"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Totaal mannen en vrouwen,Totaal leeftijd,17089794,17191931,17271386,17342426,17405655,17461878,17511336,17559702,17607942,17655921,17703034,17749122,17793902,17837096,17878008,17916395,17952030,17984658,18014134,18040282,18063049,18082415,18098450,18111373,18121455,18128889,18133999,18137058,18138503,18138687,18138113,18137059,18135861,18134708,18133760,18133178,18133107,18133727,18135194,18137642,18141192,18145962,18152086,18159662
Totaal mannen en vrouwen,0 jaar,172780,175960,178097,181104,183489,185796,188243,190480,192427,193876,194930,195694,196218,196498,196501,196235,195715,194945,193944,192751,191439,190071,188719,187426,186234,185170,184256,183532,183037,182804,182854,183183,183774,184583,185558,186643,187791,188953,190080,191135,192083,192901,193564,194066
Totaal mannen en vrouwen,1 jaar,171688,174004,176801,178838,181757,184070,186305,188729,190963,192914,194367,195427,196196,196724,197006,197011,196751,196238,195470,194476,193285,191976,190611,189263,187975,186789,185731,184822,184104,183617,183392,183448,183780,184379,185189,186165,187249,188398,189555,190681,191732,192679,193496,194155
Totaal mannen en vrouwen,2 jaar,176988,173028,174894,177523,179478,182327,184572,186786,189207,191445,193390,194843,195906,196680,197207,197491,197499,197242,196732,195970,194981,193794,192488,191125,189783,188498,187318,186263,185361,184651,184171,183952,184017,184353,184956,185769,186744,187829,188973,190130,191254,192303,193245,194062
Totaal mannen en vrouwen,3 jaar,173405,177989,173724,175407,177920,179811,182590,184812,187017,189436,191670,193613,195062,196128,196898,197425,197711,197725,197470,196963,196204,195217,194031,192728,191370,190034,188758,187580,186531,185636,184934,184461,184248,184319,184659,185266,186081,187054,188137,189280,190433,191554,192600,193539
Totaal mannen en vrouwen,4 jaar,178151,174280,178522,174195,175762,178188,180014,182772,184992,187197,189614,191842,193783,195230,196292,197061,197589,197878,197894,197642,197137,196380,195394,194212,192913,191557,190226,188954,187783,186741,185855,185158,184693,184487,184564,184908,185516,186333,187308,188390,189533,190682,191799,192842
Totaal mannen en vrouwen,5 jaar,182167,179012,174782,178907,174548,176021,178379,180193,182949,185169,187373,189786,192011,193946,195391,196451,197217,197746,198040,198060,197809,197304,196551,195567,194387,193094,191742,190415,189148,187985,186949,186071,185379,184922,184725,184807,185155,185766,186584,187560,188640,189779,190928,192042
Totaal mannen en vrouwen,6 jaar,186854,183123,179556,175233,179264,174869,176266,178620,180442,183200,185417,187619,190028,192247,194176,195619,196673,197441,197971,198265,198286,198036,197533,196780,195800,194624,193338,191992,190670,189408,188250,187219,186345,185658,185208,185016,185104,185457,186069,186890,187865,188943,190080,191227
